	hsa04215_GO:0006915	hsa04660_GO:0050852	hsa00620_GO:0006090	hsa04923_GO:0016042	hsa04710_GO:0007623	hsa04662_GO:0050853	hsa04666_GO:0006909	hsa04350_GO:0007179	hsa00561_GO:0046486	hsa00564_GO:0006650	hsa00140_GO:0034754	hsa04114_GO:0051321	hsa04913_GO:0050810	hsa04120_GO:0016567	hsa04310_GO:0016055	hsa04140_GO:0006914	hsa03410_GO:0006284	hsa04068_GO:0009267	hsa04668_GO:0033209	hsa03013_GO:0050658	hsa04810_GO:0030036	hsa04136_GO:0006914	hsa00512_GO:0006493	hsa00513_GO:0006487	hsa00510_GO:0006487	hsa04152_GO:2000479	hsa00514_GO:0006493	hsa04141_GO:0034976	hsa04141_GO:0030433	hsa00071_GO:0009062	hsa04024_GO:0019933	hsa04370_GO:0048010	hsa04915_GO:0030520	hsa04020_GO:0019722	hsa04979_GO:0008203	hsa03018_GO:0006401	hsa04015_GO:0007264	hsa04977_GO:0051180	hsa04010_GO:0000165	hsa00061_GO:0006633	hsa04260_GO:0060048	hsa00230_GO:0042278	hsa00230_GO:0006163	hsa03440_GO:0000724	hsa04670_GO:0050900	hsa00600_GO:0006665	hsa04144_GO:0006897	hsa04210_GO:0006915	hsa04218_GO:0090398	hsa03420_GO:0006289	hsa03450_GO:0006303	hsa04742_GO:0050909	hsa00630_GO:0043648	hsa00920_GO:0006790
LEARNED-VEC	3	25	2	17	9	2	19	1	8	1	1	17	13	1	1	12	1	19	5	1	2	6	7	3	1	1	4	5	1	3	8	7	35	2	8	6	9	2	14	20	3	1	18	1	13	2	3	14	20	6	2	11	4	1
ESMB1	5	4	2	21	14	45	7	5	2	1	1	43	3	1	1	1	6	4	2	1	1	3	4	2	4	1	1	2	1	1	14	11	40	1	6	2	6	1	14	10	40	19	4	1	9	5	1	7	39	6	6	1	1	3
ALBERT	1	13	1	19	37	16	27	12	2	10	1	25	5	1	1	1	17	10	4	6	4	4	4	2	4	1	1	7	1	1	13	11	8	6	9	1	8	2	11	7	42	36	7	1	4	1	16	3	27	4	3	2	2	7
BERT-BFD	4	7	1	15	12	6	2	21	2	1	1	3	31	1	1	1	26	12	11	10	7	5	4	3	2	1	1	4	1	1	16	9	23	4	26	3	11	1	22	21	39	22	1	2	7	5	1	11	17	12	14	13	3	13
FROGS-ARCHS4	5	2	3	16	17	1	6	1	8	9	1	8	12	15	4	7	2	10	6	2	4	8	5	5	1	1	1	36	1	4	28	5	33	23	3	9	1	3	15	12	1	1	33	18	2	11	31	22	3	3	15	24	5	15
BERT-PFAM	7	8	3	20	7	11	10	3	11	1	1	41	1	1	20	7	6	7	1	5	2	2	3	1	3	1	2	29	1	1	22	6	45	5	12	1	6	1	13	20	38	24	2	1	16	4	10	16	17	11	13	12	1	7
ESM2	12	13	1	26	35	22	18	2	4	1	1	11	2	1	13	2	14	6	8	16	1	3	3	2	4	1	1	1	1	1	9	24	11	7	21	2	2	1	20	17	21	29	1	1	16	6	1	3	34	50	19	10	3	9
GENE2VEC	2	3	4	12	38	1	2	3	11	4	1	5	29	1	2	11	2	28	24	1	11	4	19	8	17	1	13	2	1	2	40	4	36	24	15	8	32	1	12	21	1	24	17	5	1	1	11	11	4	5	6	1	3	13
KSEP	11	34	2	20	31	26	4	7	4	7	1	22	15	1	20	5	6	26	15	33	1	2	4	2	6	1	1	2	1	1	12	2	4	1	29	3	4	5	5	16	52	50	15	3	9	9	1	9	6	10	13	11	1	4
PROTVEC	25	7	2	9	27	15	16	23	10	11	1	7	8	1	20	7	22	25	14	11	3	2	3	9	11	1	2	14	1	3	5	2	29	2	21	13	14	9	4	17	52	51	5	4	23	7	21	5	4	16	4	22	3	16
CPC-PROT	39	10	4	8	9	11	7	23	13	7	1	17	3	1	17	9	15	24	17	24	5	23	5	5	10	1	1	16	1	2	15	1	22	3	20	19	11	11	20	24	52	44	3	6	25	6	1	21	6	18	13	28	3	21
GF-20L95M	26	2	5	11	19	3	37	28	6	1	1	9	4	1	22	1	12	25	18	31	23	2	8	20	9	1	6	44	1	10	28	16	8	3	14	7	29	3	14	8	10	3	6	2	19	9	40	42	49	8	11	2	4	9
GF-6L30M	36	5	32	31	8	1	20	16	16	2	1	8	10	1	6	7	6	14	17	40	11	17	4	15	16	1	1	18	1	11	23	13	48	1	29	6	26	3	21	15	45	5	15	2	19	1	8	30	26	22	11	3	3	15
AAC	34	11	3	8	27	12	15	24	3	6	1	15	4	1	16	6	25	18	25	18	3	9	8	7	8	1	2	23	1	2	12	9	40	6	35	16	20	8	16	16	52	50	1	5	33	8	5	4	9	25	11	24	4	17
APAAC	32	12	3	9	27	11	18	24	3	6	1	13	4	1	18	5	25	18	25	21	3	11	8	6	8	1	3	24	1	2	14	9	40	6	36	15	19	8	16	14	52	50	1	5	33	8	7	6	10	22	12	23	4	17
TCGA-EMBEDDING	6	7	10	29	5	1	10	29	15	46	1	6	28	1	37	3	6	21	29	19	2	4	34	9	15	1	37	1	1	4	22	16	48	25	5	6	39	8	15	21	2	2	42	16	3	6	5	5	14	10	14	2	3	24
XLNET	3	36	2	29	36	32	28	4	3	2	1	51	5	1	38	10	9	27	8	1	1	20	9	4	8	1	5	14	1	4	49	41	50	52	6	16	37	7	40	18	33	24	1	2	46	6	38	24	44	9	11	34	7	12
GF-12L95M	32	30	18	39	25	37	42	11	17	7	1	23	30	1	38	7	14	24	31	13	28	14	10	16	11	1	6	34	1	14	41	25	50	3	37	11	44	13	22	31	51	26	7	3	50	17	20	40	35	4	16	15	20	13
GF-12L95MCANCER	34	27	25	39	21	42	42	17	20	5	1	22	30	1	27	8	16	23	35	15	26	13	15	16	9	1	6	36	1	18	41	25	51	1	41	14	35	23	15	28	51	34	7	2	50	19	18	43	33	5	22	15	23	29
GF-12L30M	37	21	41	45	22	22	19	22	28	12	1	19	44	1	4	5	33	9	22	10	23	18	26	26	18	1	14	18	1	33	39	21	48	9	46	19	26	42	4	42	50	44	15	12	42	24	2	40	12	33	35	36	24	30
