	positive regulation of cell migration	protein maturation	positive regulation of DNA-templated transcription	G protein-coupled receptor signaling pathway	positive regulation of MAPK cascade	positive regulation of gene expression	positive regulation of canonical NF-kappaB signal transduction	positive regulation of transcription by RNA polymerase II	apoptotic signaling pathway	adenylate cyclase-activating G protein-coupled receptor signaling pathway	DNA damage response	negative regulation of apoptotic process	cellular response to oxidative stress	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	negative regulation of canonical NF-kappaB signal transduction	negative regulation of transcription by RNA polymerase II	innate immune response	positive regulation of apoptotic process	intracellular signal transduction
ESM2	0.776953125	0.8653061224489795	0.8224913494809689	0.9768888888888889	0.8861111111111111	0.6208333333333333	0.7753086419753086	0.93296	0.716	1.0	0.8173611111111111	0.566358024691358	0.4902777777777778	0.719526627218935	0.5512396694214876	0.8599173553719008	0.7529999999999999	0.7475308641975309	0.6868571428571428
ALBERT	0.6796875	0.846938775510204	0.8380622837370242	0.9582222222222222	0.8791666666666667	0.6883680555555556	0.7148148148148148	0.92176	0.707	1.0	0.8208333333333333	0.5089506172839506	0.6701388888888888	0.736094674556213	0.6231404958677687	0.8225206611570247	0.764	0.6521604938271605	0.7059591836734693
PPI-RAW	0.7464843750000001	0.9612244897959183	0.7858131487889274	0.9213333333333333	0.7833333333333333	0.8003472222222223	0.8580246913580246	0.72	0.778	0.8972222222222223	0.7520833333333333	0.6774691358024691	0.5152777777777777	0.7639053254437871	0.5611570247933885	0.7130165289256197	0.7040000000000001	0.7953703703703704	0.6786122448979592
PFAM	0.71875	0.8908163265306122	0.85	0.9548888888888889	0.8173611111111111	0.6715277777777776	0.6555555555555556	0.86056	0.63	0.9916666666666667	0.8180555555555555	0.6199074074074075	0.6722222222222223	0.5822485207100592	0.6070247933884297	0.8517561983471075	0.7765	0.7654320987654321	0.6404897959183673
HMMER	0.7546875	0.9346938775510203	0.8336505190311418	0.8862222222222222	0.7111111111111111	0.6838541666666667	0.6765432098765432	0.85992	0.733	1.0	0.7854166666666667	0.5762345679012346	0.7076388888888889	0.5650887573964497	0.552892561983471	0.8756198347107438	0.73	0.691358024691358	0.7128163265306122
SEQVEC	0.7515624999999999	0.7999999999999999	0.8079584775086505	0.9684444444444444	0.8194444444444444	0.6755208333333333	0.7345679012345679	0.9179200000000001	0.615	1.0	0.8090277777777777	0.5385802469135802	0.6736111111111112	0.606508875739645	0.5966942148760331	0.815702479338843	0.759	0.6842592592592591	0.6815510204081633
BIOCONCEPTVEC-GLOVE	0.800390625	0.5897959183673469	0.8608131487889273	0.904888888888889	0.8909722222222223	0.6470486111111111	0.802469135802469	0.8227199999999999	0.696	0.9500000000000001	0.8270833333333334	0.779320987654321	0.7868055555555555	0.5775147928994082	0.6900826446280992	0.6882231404958679	0.658	0.6614197530864196	0.6139591836734694
BERT-PFAM	0.6929687500000001	0.7387755102040815	0.7599480968858131	0.9648888888888889	0.7791666666666667	0.6670138888888889	0.6382716049382716	0.872	0.7100000000000001	1.0	0.8840277777777779	0.46944444444444444	0.6173611111111111	0.6964497041420119	0.5801652892561983	0.8084710743801654	0.813	0.7620370370370371	0.6987755102040816
KSEP	0.7230468750000001	0.7938775510204081	0.8108996539792388	0.8848888888888888	0.7680555555555556	0.5894097222222223	0.6407407407407407	0.90608	0.6970000000000001	0.9916666666666666	0.7895833333333333	0.5759259259259258	0.6381944444444444	0.6656804733727811	0.7272727272727274	0.8448347107438017	0.7679999999999999	0.6064814814814815	0.719591836734694
BERT-BFD	0.7109375	0.8530612244897959	0.8344290657439446	0.9751111111111112	0.7770833333333333	0.5539930555555556	0.6666666666666666	0.91184	0.675	1.0	0.8277777777777778	0.5268518518518519	0.6020833333333333	0.6810650887573965	0.5892561983471074	0.8504132231404957	0.6769999999999999	0.7265432098765432	0.691265306122449
BLAST	0.70390625	0.8755102040816327	0.8741349480968857	0.9328888888888889	0.7138888888888889	0.728125	0.554320987654321	0.7995200000000001	0.619	1.0	0.7673611111111113	0.6070987654320988	0.6916666666666667	0.570414201183432	0.6008264462809918	0.8675619834710744	0.688	0.6935185185185185	0.6647346938775511
MUT2VEC	0.8371093749999999	0.6693877551020407	0.7802768166089964	0.8155555555555556	0.8472222222222222	0.5262152777777778	0.7753086419753086	0.6604800000000001	0.8530000000000001	0.8111111111111111	0.6868055555555556	0.7916666666666667	0.7055555555555556	0.767455621301775	0.6917355371900826	0.6811983471074381	0.7140000000000001	0.7182098765432099	0.5686530612244898
UNIREP	0.775	0.7693877551020408	0.8310553633217994	0.9426666666666667	0.7805555555555556	0.6619791666666668	0.637037037037037	0.88928	0.5820000000000001	0.9833333333333334	0.85	0.49135802469135803	0.6083333333333333	0.7136094674556213	0.5132231404958678	0.7888429752066116	0.727	0.6169753086419753	0.6394285714285715
GF-12L95M	0.7703125	0.7061224489795919	0.7156574394463668	0.8853333333333333	0.7298611111111111	0.5925347222222223	0.745679012345679	0.6857599999999999	0.575	0.975	0.795138888888889	0.6367283950617284	0.64375	0.7751479289940828	0.4950413223140496	0.6909090909090909	0.597	0.608641975308642	0.5777959183673469
GF-12L95MCANCER	0.7183593749999999	0.6857142857142857	0.7064878892733564	0.8715555555555556	0.7576388888888889	0.6763888888888889	0.6580246913580247	0.5992000000000001	0.5720000000000001	0.9638888888888889	0.8013888888888889	0.6299382716049383	0.7118055555555556	0.7396449704142012	0.4801652892561983	0.6871900826446281	0.576	0.6712962962962963	0.6144489795918368
GF-20L95M	0.721484375	0.7183673469387755	0.5931660899653979	0.8733333333333333	0.6944444444444444	0.6411458333333333	0.7234567901234568	0.5977600000000001	0.647	0.9416666666666668	0.7118055555555556	0.6978395061728395	0.6055555555555555	0.7692307692307693	0.5380165289256198	0.7159090909090908	0.643	0.6561728395061729	0.6183673469387755
SCGPT-HUMAN	0.730078125	0.7591836734693878	0.6637543252595155	0.8871111111111111	0.7104166666666667	0.682638888888889	0.6728395061728395	0.7024	0.549	0.9361111111111111	0.7527777777777778	0.6327160493827161	0.5895833333333333	0.7183431952662722	0.5297520661157025	0.5867768595041323	0.635	0.6833333333333333	0.6645714285714286
SCGPT-PANCANCER	0.760546875	0.6551020408163265	0.6625432525951558	0.8617777777777778	0.7	0.7336805555555556	0.6111111111111112	0.63648	0.596	0.9694444444444444	0.6638888888888889	0.6299382716049383	0.5958333333333333	0.7094674556213018	0.5231404958677686	0.6586776859504132	0.711	0.6478395061728395	0.6536326530612245
GF-12L30M	0.753125	0.7653061224489797	0.7097750865051903	0.8551111111111112	0.8069444444444445	0.6315972222222221	0.674074074074074	0.72304	0.649	0.9249999999999999	0.7159722222222222	0.6404320987654321	0.47916666666666663	0.5899408284023668	0.5942148760330579	0.6268595041322315	0.596	0.5706790123456791	0.6293061224489797
CPC-PROT	0.644140625	0.6612244897959184	0.7964532871972317	0.916	0.7548611111111111	0.5743055555555555	0.562962962962963	0.8616	0.5740000000000001	0.9916666666666666	0.6013888888888889	0.5222222222222223	0.6	0.6047337278106508	0.5446280991735537	0.7402892561983471	0.7740000000000001	0.6222222222222222	0.5857142857142857
GF-6L30M	0.8019531249999999	0.7489795918367347	0.627681660899654	0.8617777777777778	0.7576388888888889	0.6395833333333333	0.5777777777777777	0.6832	0.716	0.9500000000000001	0.6826388888888889	0.704320987654321	0.5055555555555555	0.6455621301775147	0.49090909090909096	0.6634297520661158	0.587	0.629320987654321	0.5722448979591837
PROTVEC	0.652734375	0.753061224489796	0.7800173010380623	0.9386666666666668	0.80625	0.5553819444444444	0.574074074074074	0.8568000000000001	0.656	0.9805555555555555	0.6847222222222222	0.5311728395061729	0.41111111111111115	0.4591715976331361	0.5950413223140496	0.7495867768595041	0.593	0.5249999999999999	0.6179591836734694
LEARNED-VEC	0.65625	0.726530612244898	0.7916955017301037	0.944	0.5729166666666666	0.6022569444444444	0.5432098765432098	0.8420799999999999	0.548	0.9805555555555555	0.69375	0.5487654320987655	0.5395833333333334	0.6721893491124261	0.5264462809917355	0.7324380165289256	0.637	0.5626543209876543	0.5930612244897959
AAC	0.60390625	0.6836734693877551	0.7763840830449827	0.9111111111111111	0.5534722222222221	0.55	0.5728395061728395	0.8196800000000001	0.518	0.9888888888888889	0.7520833333333334	0.6919753086419752	0.5215277777777778	0.5467455621301776	0.5264462809917355	0.7809917355371901	0.658	0.6669753086419753	0.5882448979591837
APAAC	0.612890625	0.6979591836734693	0.7761245674740485	0.9040000000000001	0.7208333333333334	0.5453125000000001	0.5925925925925926	0.81792	0.5579999999999999	0.9833333333333334	0.6916666666666667	0.5722222222222222	0.5083333333333333	0.4414201183431953	0.6471074380165289	0.7256198347107439	0.674	0.6095679012345679	0.5965714285714285
TCGA-EMBEDDING	0.731640625	0.6061224489795918	0.6298442906574394	0.8657777777777778	0.7270833333333333	0.6878472222222223	0.6839506172839507	0.57664	0.643	0.9222222222222222	0.7861111111111112	0.5814814814814814	0.5666666666666667	0.655621301775148	0.5024793388429752	0.550206611570248	0.6619999999999999	0.5549382716049382	0.6045714285714285
GENE2VEC	0.6265625	0.7306122448979592	0.5679065743944637	0.844	0.7131944444444445	0.6072916666666667	0.7185185185185186	0.6582399999999999	0.647	0.9194444444444445	0.6013888888888889	0.5558641975308642	0.5451388888888888	0.7372781065088758	0.4479338842975207	0.6832644628099174	0.739	0.5777777777777778	0.6174693877551021
FROGS-ARCHS4	0.696484375	0.8122448979591836	0.6243944636678201	0.8248888888888889	0.7152777777777778	0.5750000000000001	0.5320987654320988	0.6625599999999999	0.528	0.7444444444444445	0.763888888888889	0.5879629629629629	0.6020833333333333	0.5218934911242603	0.5140495867768595	0.5871900826446281	0.534	0.5172839506172839	0.577795918367347
