	hsa04215_GO:0006915	hsa04660_GO:0050852	hsa00620_GO:0006090	hsa04923_GO:0016042	hsa04710_GO:0007623	hsa04662_GO:0050853	hsa04666_GO:0006909	hsa04350_GO:0007179	hsa00561_GO:0046486	hsa00564_GO:0006650	hsa00140_GO:0034754	hsa04114_GO:0051321	hsa04913_GO:0050810	hsa04120_GO:0016567	hsa04310_GO:0016055	hsa04140_GO:0006914	hsa03410_GO:0006284	hsa04068_GO:0009267	hsa04668_GO:0033209	hsa03013_GO:0050658	hsa04810_GO:0030036	hsa04136_GO:0006914	hsa00512_GO:0006493	hsa00513_GO:0006487	hsa00510_GO:0006487	hsa04152_GO:2000479	hsa00514_GO:0006493	hsa04141_GO:0034976	hsa04141_GO:0030433	hsa00071_GO:0009062	hsa04024_GO:0019933	hsa04370_GO:0048010	hsa04915_GO:0030520	hsa04020_GO:0019722	hsa04979_GO:0008203	hsa03018_GO:0006401	hsa04015_GO:0007264	hsa04977_GO:0051180	hsa04010_GO:0000165	hsa00061_GO:0006633	hsa04260_GO:0060048	hsa00230_GO:0042278	hsa00230_GO:0006163	hsa03440_GO:0000724	hsa04670_GO:0050900	hsa00600_GO:0006665	hsa04144_GO:0006897	hsa04210_GO:0006915	hsa04218_GO:0090398	hsa03420_GO:0006289	hsa03450_GO:0006303	hsa04742_GO:0050909	hsa00630_GO:0043648	hsa00920_GO:0006790
BIOCONCEPTVEC-SKIP-GRAM	6	1	1	15	1	2	7	1	2	1	1	5	5	1	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	3	13	1	1	1	4	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	5
BIOCONCEPTVEC-GLOVE	2	1	1	20	1	3	4	1	2	1	1	6	3	1	1	1	1	3	1	1	1	2	2	2	1	1	1	1	1	1	2	3	7	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	13
PPI-RAW	2	1	1	34	1	2	2	1	2	1	1	2	3	1	1	1	1	7	2	1	1	2	2	2	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	11
BLAST	2	1	2	28	1	2	7	1	2	1	1	1	2	1	1	1	1	3	4	1	1	2	2	2	1	12	1	1	1	1	2	1	4	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	6
GENE2VEC	2	2	1	13	1	1	1	1	2	1	1	1	3	1	1	1	1	8	5	1	1	2	2	2	1	1	1	1	1	1	2	1	29	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	11
PFAM	2	1	3	26	1	2	4	1	2	1	1	3	1	1	1	1	1	6	2	1	1	2	2	2	1	12	1	1	1	1	2	2	9	1	2	1	4	1	2	1	1	1	1	1	2	1	1	1	4	1	1	1	2	3
HMMER	2	1	4	26	1	2	10	1	2	1	1	4	4	1	1	1	1	3	4	1	1	2	2	2	1	16	1	1	1	1	3	3	11	1	2	1	1	1	2	1	4	1	1	1	2	1	1	1	8	1	1	1	3	3
LEARNED-VEC	2	2	1	18	1	1	3	1	2	1	1	20	8	1	1	1	1	13	1	1	1	2	2	2	1	5	1	1	1	1	2	1	38	1	1	1	1	1	2	6	1	1	1	1	2	1	1	1	4	1	1	1	2	1
T5	4	1	1	20	1	2	6	1	2	1	1	35	3	1	1	1	1	5	1	1	1	2	2	2	1	11	1	1	1	1	2	3	18	1	2	1	1	1	1	3	1	1	1	1	8	1	1	1	7	1	1	1	2	2
BERT-BFD	4	2	1	20	1	2	2	10	2	1	1	12	11	1	1	1	1	13	9	1	1	2	2	2	1	3	1	1	1	1	3	1	21	1	1	1	2	1	1	3	4	2	1	1	4	1	1	1	1	1	1	1	3	11
GF-6L30M	3	1	3	30	1	1	15	1	2	1	1	7	1	1	1	1	1	10	1	1	1	2	2	2	1	2	1	1	1	1	1	1	42	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	19
ALBERT	3	1	1	24	7	2	2	1	2	1	1	25	2	1	1	1	1	6	3	1	1	2	2	2	1	17	1	1	1	1	2	1	17	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	1	2	27
SEQVEC	3	1	1	23	2	2	6	1	2	1	1	21	3	1	1	1	1	4	1	1	1	2	2	2	1	10	1	1	1	1	2	2	38	1	1	1	2	1	1	11	1	1	1	1	5	1	1	1	5	1	1	1	1	9
CPC-PROT	14	16	1	20	2	2	3	8	2	1	1	1	1	1	1	1	1	6	3	3	1	2	2	2	1	1	1	1	1	1	1	2	32	1	1	1	3	1	1	5	8	1	1	1	14	1	1	1	1	1	1	1	4	24
MASHUP	2	2	8	28	1	2	10	1	2	1	1	35	3	1	1	1	1	10	3	1	1	2	2	2	1	27	1	1	1	1	3	8	18	2	1	1	1	1	2	7	1	1	1	1	1	1	1	1	4	1	1	1	1	2
ESMB1	5	1	1	28	1	6	4	1	2	1	1	43	1	1	1	1	1	4	1	1	1	2	2	2	1	6	1	1	1	1	2	3	44	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	17	1	1	1	2	7
BERT-PFAM	3	3	1	24	2	3	6	1	2	1	1	45	1	1	1	1	1	4	1	1	1	2	2	2	1	9	1	1	1	1	3	1	48	1	1	1	1	1	2	3	1	1	1	1	11	1	1	1	10	1	1	1	1	12
PROTVEC	8	5	1	14	12	1	7	15	2	1	1	2	2	1	1	1	1	6	8	5	1	2	2	2	1	2	1	1	1	1	1	2	28	1	1	1	4	1	1	7	4	1	1	1	12	1	1	1	6	1	1	1	3	44
ESM2	5	3	1	28	19	7	23	1	2	1	1	17	2	1	1	1	1	7	3	1	1	2	2	2	1	2	1	1	1	1	1	19	16	1	1	1	2	1	2	3	1	1	1	1	3	1	1	1	34	1	4	1	2	5
UNIREP	2	3	2	42	3	5	8	1	2	1	1	27	2	1	1	1	1	8	1	1	1	2	2	2	1	10	1	1	1	1	3	5	27	1	1	1	5	1	2	45	1	4	1	1	3	1	1	1	4	1	2	1	1	6
TCGA-EMBEDDING	2	28	1	30	3	1	9	21	2	1	1	4	9	1	1	1	1	8	19	1	1	3	2	3	1	10	1	1	1	1	1	8	5	1	1	2	15	1	2	3	1	33	1	1	1	1	1	1	4	1	1	1	2	6
AAC	10	4	1	13	10	2	4	15	2	1	1	1	1	1	1	1	1	5	9	9	1	2	2	2	1	3	1	1	1	1	6	2	43	1	2	1	3	1	1	7	3	1	1	1	26	1	1	1	5	1	1	1	4	45
APAAC	10	4	1	14	11	2	5	14	2	1	1	1	1	1	1	1	1	4	9	9	1	2	2	2	1	5	1	1	1	1	6	2	44	1	2	1	3	1	1	7	3	1	1	1	31	1	1	1	5	1	1	1	3	45
KSEP	3	37	2	25	19	16	5	5	2	1	1	6	4	1	6	1	2	20	4	4	1	2	2	2	1	2	1	1	1	1	4	4	16	1	4	1	2	1	1	9	24	1	1	1	9	1	1	1	3	1	6	1	1	39
GF-12L30M	4	26	31	46	2	10	10	3	2	1	1	22	13	1	1	1	1	3	3	1	2	2	2	2	1	2	1	1	1	1	3	1	50	1	1	1	10	1	1	1	1	1	1	1	14	1	1	1	9	1	1	1	2	32
GF-12L95M	2	35	7	38	3	29	35	1	2	1	1	27	3	1	1	1	1	5	15	1	1	2	2	2	1	4	1	1	1	1	15	1	52	1	1	1	17	1	1	2	1	1	1	1	23	1	1	1	27	1	1	1	3	34
GF-12L95MCANCER	2	42	11	36	4	32	34	1	2	1	1	24	7	1	1	1	1	7	21	1	1	2	2	2	1	4	1	1	1	1	8	1	51	1	1	1	14	1	1	3	1	1	1	1	30	1	1	1	32	1	2	1	3	35
XLNET	4	25	4	28	29	25	26	2	2	1	1	50	17	1	3	3	8	21	4	1	1	4	2	2	1	41	1	1	3	1	49	35	49	43	1	20	13	1	7	14	2	5	1	1	44	1	11	19	40	1	8	36	4	25
