	positive regulation of cell migration	protein maturation	positive regulation of DNA-templated transcription	G protein-coupled receptor signaling pathway	positive regulation of MAPK cascade	positive regulation of gene expression	positive regulation of canonical NF-kappaB signal transduction	positive regulation of transcription by RNA polymerase II	apoptotic signaling pathway	adenylate cyclase-activating G protein-coupled receptor signaling pathway	DNA damage response	negative regulation of apoptotic process	cellular response to oxidative stress	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	negative regulation of canonical NF-kappaB signal transduction	negative regulation of transcription by RNA polymerase II	innate immune response	positive regulation of apoptotic process	intracellular signal transduction
T5	0.5390625	0.6979591836734693	0.4984429065743945	0.6755555555555556	0.7944444444444444	0.5236111111111111	0.6049382716049383	0.5932799999999999	0.7569999999999999	0.9305555555555556	0.4770833333333333	0.5595679012345679	0.6201388888888889	0.644378698224852	0.5355371900826447	0.44669421487603306	0.787	0.6157407407407408	0.6225306122448979
ESM2	0.59375	0.7387755102040816	0.5576124567474049	0.6186666666666667	0.8166666666666667	0.49583333333333335	0.6641975308641975	0.59792	0.6950000000000001	0.8500000000000001	0.5159722222222223	0.6169753086419754	0.5479166666666666	0.6242603550295859	0.512396694214876	0.4890495867768595	0.6619999999999999	0.6138888888888888	0.6194285714285714
HMMER	0.5375	0.7673469387755102	0.5897923875432527	0.5786666666666667	0.6597222222222222	0.6234375	0.6197530864197531	0.6312	0.8220000000000001	0.8666666666666667	0.6291666666666667	0.5628086419753086	0.5798611111111112	0.527810650887574	0.39752066115702483	0.565392561983471	0.7410000000000001	0.5175925925925926	0.5985306122448979
SCGPT-HUMAN	0.6605468750000001	0.7387755102040816	0.5123702422145329	0.6902222222222223	0.6868055555555556	0.5543402777777777	0.5814814814814816	0.50512	0.482	0.8999999999999999	0.6534722222222222	0.5891975308641976	0.5131944444444444	0.7207100591715976	0.6628099173553719	0.5578512396694215	0.616	0.6339506172839506	0.5226122448979592
BERT-BFD	0.5203125	0.6510204081632652	0.5692041522491349	0.692	0.6965277777777777	0.5032986111111111	0.6962962962962962	0.58928	0.746	0.8944444444444445	0.4993055555555556	0.5654320987654321	0.6069444444444444	0.5254437869822486	0.6578512396694215	0.4444214876033058	0.702	0.5058641975308642	0.6061224489795918
SEQVEC	0.559765625	0.7326530612244898	0.5916955017301039	0.7817777777777778	0.6895833333333334	0.4326388888888889	0.6592592592592593	0.61472	0.655	0.9638888888888889	0.5680555555555555	0.4817901234567901	0.6597222222222223	0.5461538461538462	0.4520661157024793	0.4268595041322314	0.7560000000000001	0.4385802469135803	0.6139591836734694
ALBERT	0.502734375	0.6142857142857143	0.5619377162629757	0.7497777777777778	0.7784722222222222	0.5593750000000001	0.5703703703703704	0.62752	0.793	0.9138888888888888	0.5388888888888889	0.5367283950617283	0.5562500000000001	0.568639053254438	0.468595041322314	0.4809917355371901	0.659	0.5274691358024691	0.6106938775510204
BLAST	0.553515625	0.693877551020408	0.5803200692041524	0.616	0.6604166666666667	0.6651041666666666	0.5666666666666667	0.5591999999999999	0.8180000000000001	0.7805555555555556	0.65625	0.4777777777777778	0.6423611111111112	0.35029585798816565	0.5454545454545454	0.5566115702479338	0.654	0.5160493827160493	0.6159183673469388
SCGPT-PANCANCER	0.66875	0.6530612244897959	0.48451557093425607	0.7115555555555556	0.5923611111111111	0.5868055555555556	0.6987654320987653	0.5472	0.42600000000000005	0.9416666666666667	0.5791666666666666	0.4873456790123457	0.48263888888888884	0.676923076923077	0.5396694214876033	0.5446280991735537	0.636	0.5611111111111111	0.5555102040816327
MUT2VEC	0.49609375	0.5020408163265306	0.5209342560553634	0.6351111111111111	0.538888888888889	0.4788194444444444	0.7086419753086419	0.6492800000000001	0.639	0.7527777777777777	0.5402777777777779	0.5558641975308641	0.4388888888888889	0.7822485207100591	0.7462809917355372	0.5921487603305785	0.677	0.5484567901234567	0.5085714285714287
PFAM	0.5205078125	0.573469387755102	0.5826124567474048	0.6497777777777779	0.7177083333333333	0.5880208333333333	0.5802469135802468	0.61696	0.6435000000000001	0.7097222222222223	0.5045138888888889	0.567283950617284	0.5690972222222223	0.5934911242603551	0.5074380165289256	0.5172520661157025	0.685	0.6195987654320988	0.5648571428571428
XLNET	0.471875	0.6897959183673469	0.5214532871972317	0.6968888888888889	0.7659722222222222	0.38663194444444443	0.5185185185185185	0.5873600000000001	0.696	0.913888888888889	0.5423611111111111	0.5382716049382716	0.5701388888888889	0.5644970414201184	0.5206611570247934	0.484504132231405	0.755	0.49475308641975313	0.5823673469387756
KSEP	0.480859375	0.5204081632653061	0.5782006920415226	0.6106666666666667	0.6597222222222222	0.5184027777777778	0.6790123456790123	0.6193599999999999	0.751	0.8361111111111112	0.5972222222222221	0.518827160493827	0.5104166666666666	0.48579881656804735	0.5123966942148761	0.5801652892561984	0.775	0.4237654320987654	0.6168163265306122
GF-12L95M	0.537890625	0.8122448979591836	0.47145328719723184	0.683111111111111	0.5979166666666667	0.5243055555555556	0.6950617283950618	0.4736	0.493	0.9472222222222222	0.6041666666666666	0.5774691358024691	0.5805555555555555	0.7284023668639054	0.47603305785123967	0.4450413223140496	0.492	0.5518518518518518	0.5702857142857143
FROGS-ARCHS4	0.5078125	0.5346938775510204	0.5352076124567474	0.6342222222222222	0.5270833333333333	0.5524305555555555	0.5777777777777777	0.54064	0.489	0.8444444444444446	0.6520833333333333	0.6006172839506173	0.5076388888888889	0.6396449704142012	0.7297520661157024	0.615702479338843	0.569	0.5345679012345679	0.6084897959183674
BERT-PFAM	0.49882812499999996	0.636734693877551	0.583477508650519	0.7826666666666666	0.6854166666666667	0.44131944444444443	0.6037037037037036	0.6103999999999999	0.769	0.8944444444444444	0.5131944444444445	0.42530864197530865	0.5006944444444444	0.5449704142011834	0.45619834710743806	0.40392561983471076	0.7520000000000001	0.5049382716049382	0.5710204081632653
UNIREP	0.36328125	0.5571428571428572	0.531833910034602	0.6453333333333333	0.66875	0.5798611111111112	0.6246913580246913	0.6027199999999999	0.718	0.8722222222222222	0.5201388888888889	0.5101851851851852	0.5416666666666666	0.5526627218934912	0.5289256198347108	0.45082644628099167	0.8540000000000001	0.4364197530864198	0.555265306122449
GF-12L95MCANCER	0.55859375	0.7163265306122448	0.5672145328719723	0.6951111111111111	0.6104166666666666	0.5791666666666667	0.6728395061728395	0.48272000000000004	0.39999999999999997	0.9388888888888889	0.6076388888888888	0.5623456790123457	0.48750000000000004	0.7455621301775148	0.4909090909090909	0.4547520661157025	0.455	0.5283950617283951	0.5406530612244898
GF-20L95M	0.61953125	0.653061224489796	0.4743944636678201	0.6431111111111111	0.6173611111111111	0.5265625	0.5901234567901235	0.5	0.42200000000000004	0.8333333333333334	0.60625	0.5959876543209877	0.46944444444444444	0.6792899408284024	0.5661157024793388	0.47995867768595035	0.619	0.615432098765432	0.5426122448979592
TCGA-EMBEDDING	0.638671875	0.6795918367346938	0.49100346020761243	0.6719999999999999	0.5527777777777778	0.5951388888888889	0.5012345679012346	0.4504	0.475	0.8777777777777778	0.5229166666666667	0.46512345679012346	0.49097222222222225	0.7230769230769231	0.6066115702479339	0.5204545454545454	0.5549999999999999	0.5385802469135802	0.5805714285714285
AAC	0.6089843749999999	0.5959183673469387	0.5372837370242215	0.6217777777777778	0.7291666666666666	0.38177083333333334	0.7296296296296296	0.5913600000000001	0.5369999999999999	0.7527777777777778	0.5513888888888889	0.4120370370370371	0.5354166666666667	0.5106508875739645	0.5702479338842975	0.4506198347107438	0.671	0.4604938271604938	0.6233469387755102
LEARNED-VEC	0.44765625	0.6244897959183673	0.5313148788927335	0.696	0.6631944444444445	0.5182291666666667	0.7802469135802469	0.5768	0.44	0.863888888888889	0.5423611111111111	0.4540123456790124	0.29861111111111116	0.5633136094674557	0.6115702479338844	0.4516528925619835	0.6320000000000001	0.5935185185185186	0.5648163265306123
PROTVEC	0.462109375	0.6040816326530613	0.5219723183391003	0.756	0.70625	0.6467013888888888	0.5876543209876544	0.58928	0.6739999999999999	0.9083333333333333	0.44375	0.43364197530864196	0.3270833333333333	0.40769230769230774	0.6512396694214876	0.48739669421487597	0.652	0.37962962962962965	0.5970612244897959
GF-6L30M	0.6390625	0.657142857142857	0.4245674740484429	0.6164444444444445	0.5145833333333334	0.5131944444444444	0.47901234567901235	0.43056000000000005	0.46699999999999997	0.8250000000000001	0.6055555555555555	0.6549382716049382	0.4756944444444445	0.6686390532544378	0.5851239669421487	0.5301652892561983	0.513	0.5802469135802469	0.5551836734693878
GF-12L30M	0.43203125	0.6816326530612244	0.5275951557093426	0.6924444444444444	0.5722222222222222	0.5944444444444444	0.5790123456790124	0.5048	0.409	0.8694444444444445	0.5854166666666667	0.4700617283950617	0.4097222222222222	0.7088757396449704	0.5429752066115703	0.5369834710743802	0.612	0.46728395061728395	0.5256326530612244
APAAC	0.517578125	0.5612244897959183	0.5432525951557092	0.6897777777777778	0.6756944444444444	0.5111111111111111	0.6209876543209877	0.6004800000000001	0.627	0.8305555555555556	0.47777777777777775	0.47777777777777775	0.42430555555555555	0.4	0.5495867768595041	0.4489669421487603	0.641	0.4824074074074074	0.5460408163265307
CPC-PROT	0.45976562499999996	0.5061224489795918	0.5477508650519031	0.6866666666666666	0.6618055555555556	0.4510416666666667	0.6185185185185185	0.61616	0.54	0.7472222222222221	0.5298611111111111	0.4012345679012346	0.3590277777777778	0.47573964497041427	0.5016528925619834	0.4446280991735537	0.7180000000000001	0.596604938271605	0.5444081632653062
GENE2VEC	0.516015625	0.5224489795918367	0.5117647058823529	0.7093333333333333	0.5472222222222223	0.5526041666666667	0.44074074074074077	0.47568	0.46399999999999997	0.7722222222222223	0.4930555555555555	0.4950617283950617	0.5333333333333333	0.5923076923076922	0.533884297520661	0.4460743801652892	0.605	0.5432098765432098	0.6031836734693878
